date,ticker,open,high,low,close,volume,atr,market_bias_asof,market_bias_after_close,structure_break_event_on_close,choch_any_on_close_flag,bos_any_on_close_flag,local_high_available_on,local_high_swing_date,local_high_value,local_high_label,local_high_score,local_high_priority,local_high_max_window,local_high_days_since,local_low_available_on,local_low_swing_date,local_low_value,local_low_label,local_low_score,local_low_priority,local_low_max_window,local_low_days_since,local_break_available_on,local_break_event,local_break_score,local_break_priority,local_break_max_window,local_break_days_since,local_distance_to_high_pct,local_distance_to_low_pct,local_box_position,structural_high_available_on,structural_high_swing_date,structural_high_value,structural_high_label,structural_high_score,structural_high_priority,structural_high_max_window,structural_high_days_since,structural_low_available_on,structural_low_swing_date,structural_low_value,structural_low_label,structural_low_score,structural_low_priority,structural_low_max_window,structural_low_days_since,structural_break_available_on,structural_break_event,structural_break_score,structural_break_priority,structural_break_max_window,structural_break_days_since,structural_distance_to_high_pct,structural_distance_to_low_pct,structural_box_position,major_high_available_on,major_high_swing_date,major_high_value,major_high_label,major_high_score,major_high_priority,major_high_max_window,major_high_days_since,major_low_available_on,major_low_swing_date,major_low_value,major_low_label,major_low_score,major_low_priority,major_low_max_window,major_low_days_since,major_break_available_on,major_break_event,major_break_score,major_break_priority,major_break_max_window,major_break_days_since,major_distance_to_high_pct,major_distance_to_low_pct,major_box_position,global_high_available_on,global_high_swing_date,global_high_value,global_high_label,global_high_score,global_high_priority,global_high_max_window,global_high_days_since,global_low_available_on,global_low_swing_date,global_low_value,global_low_label,global_low_score,global_low_priority,global_low_max_window,global_low_days_since,global_break_available_on,global_break_event,global_break_score,global_break_priority,global_break_max_window,global_break_days_since,global_distance_to_high_pct,global_distance_to_low_pct,global_box_position,local_up_events_7,local_down_events_7,local_net_break_pressure_7,local_up_events_30,local_down_events_30,local_net_break_pressure_30,local_up_events_90,local_down_events_90,local_net_break_pressure_90,structural_up_events_7,structural_down_events_7,structural_net_break_pressure_7,structural_up_events_30,structural_down_events_30,structural_net_break_pressure_30,structural_up_events_90,structural_down_events_90,structural_net_break_pressure_90,major_up_events_7,major_down_events_7,major_net_break_pressure_7,major_up_events_30,major_down_events_30,major_net_break_pressure_30,major_up_events_90,major_down_events_90,major_net_break_pressure_90,global_up_events_7,global_down_events_7,global_net_break_pressure_7,global_up_events_30,global_down_events_30,global_net_break_pressure_30,global_up_events_90,global_down_events_90,global_net_break_pressure_90
2021-04-04 23:59:59.999000+00:00,BTC/USDT,57134.65,58553.0,56517.23,58234.61,152454.122,2035.7699999999968,neutral,neutral,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-05 23:59:59.999000+00:00,BTC/USDT,58234.61,59385.0,56808.94,59243.39,174338.646,2305.9149999999972,neutral,neutral,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-06 23:59:59.999000+00:00,BTC/USDT,59243.4,59626.18,57500.0,58059.99,165562.029,2246.0033333333317,neutral,neutral,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-07 23:59:59.999000+00:00,BTC/USDT,58060.0,58720.0,55536.07,56018.18,265271.707,2480.4849999999988,neutral,neutral,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-08 23:59:59.999000+00:00,BTC/USDT,56018.17,58200.0,55759.13,58122.26,161389.858,2472.5619999999994,neutral,neutral,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-09 23:59:59.999000+00:00,BTC/USDT,58122.93,58950.0,57700.0,58176.03,141690.144,2268.8016666666663,neutral,neutral,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-10 23:59:59.999000+00:00,BTC/USDT,58176.04,61800.0,57943.95,59832.43,240907.592,2495.5514285714285,neutral,neutral,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-11 23:59:59.999000+00:00,BTC/USDT,59832.43,60816.88,59304.02,60090.2,148499.824,2372.715,neutral,neutral,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-12 23:59:59.999000+00:00,BTC/USDT,60093.26,61449.91,59500.0,59911.18,196147.561,2325.736666666667,neutral,neutral,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-13 23:59:59.999000+00:00,BTC/USDT,59911.19,63850.0,59873.01,63649.71,279389.492,2490.862,neutral,neutral,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
